Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SM-LOGIN,,,,2023-08-10 07:41:54,2023-08-10 07:43:41,1m - 46.968s,PASSED
,,,,,,,
Test Cases/Mobile/SM-LOG01,,,,2023-08-10 07:41:55,2023-08-10 07:42:21,26.154s,PASSED
"startApplication(""C:\Users\rizky\Downloads\DemoAppV2.apk"", true)",,,,2023-08-10 07:41:55,2023-08-10 07:42:08,13.636s,PASSED
"tap(findTestObject(""Object Repository/Mobile - Login/android.widget.TextView - Login Here""), 3)",,,,2023-08-10 07:42:08,2023-08-10 07:42:11,2.277s,PASSED
"setText(findTestObject(""Object Repository/Mobile - Login/android.widget.EditText""), ""isya.katalon@gmail.com"", 3)",,,,2023-08-10 07:42:11,2023-08-10 07:42:12,1.786s,PASSED
"setText(findTestObject(""Object Repository/Mobile - Login/android.widget.EditText (1)""), ""password"", 3)",,,,2023-08-10 07:42:12,2023-08-10 07:42:14,1.537s,PASSED
"tap(findTestObject(""Object Repository/Mobile - Login/android.widget.TextView - Login""), 3)",,,,2023-08-10 07:42:14,2023-08-10 07:42:15,1.182s,PASSED
"tap(findTestObject(""Object Repository/Mobile - Login/android.widget.TextView - Profile""), 3)",,,,2023-08-10 07:42:15,2023-08-10 07:42:18,3.202s,PASSED
"getText(findTestObject(""Object Repository/Mobile - Login/android.widget.TextView - isya.katalongmail.com""), 3)",,,,2023-08-10 07:42:18,2023-08-10 07:42:19,1.040s,PASSED
takeScreenshot(),,,,2023-08-10 07:42:19,2023-08-10 07:42:20,0.533s,PASSED
closeApplication(),,,,2023-08-10 07:42:20,2023-08-10 07:42:21,0.769s,PASSED
,,,,,,,
Test Cases/Mobile/SM-LOG03,,,,2023-08-10 07:42:21,2023-08-10 07:42:42,20.888s,PASSED
"startApplication(""C:\Users\rizky\Downloads\DemoAppV2.apk"", true)",,,,2023-08-10 07:42:21,2023-08-10 07:42:32,11.346s,PASSED
"tap(findTestObject(""Object Repository/Mobile - Login/android.widget.TextView - Login Here""), 3)",,,,2023-08-10 07:42:32,2023-08-10 07:42:35,2.718s,PASSED
"setText(findTestObject(""Object Repository/Mobile - Login/android.widget.EditText""), ""isya.katalon17@gmail.com"", 3)",,,,2023-08-10 07:42:35,2023-08-10 07:42:37,1.678s,PASSED
"setText(findTestObject(""Object Repository/Mobile - Login/android.widget.EditText (1)""), ""password17"", 3)",,,,2023-08-10 07:42:37,2023-08-10 07:42:38,1.513s,PASSED
"tap(findTestObject(""Object Repository/Mobile - Login/android.widget.TextView - Login""), 3)",,,,2023-08-10 07:42:38,2023-08-10 07:42:39,1.180s,PASSED
"getText(findTestObject(""Mobile - Login/android.widget.TextView - Invalid Credential""), 3)",,,,2023-08-10 07:42:39,2023-08-10 07:42:40,1.011s,PASSED
takeScreenshot(),,,,2023-08-10 07:42:40,2023-08-10 07:42:41,0.493s,PASSED
closeApplication(),,,,2023-08-10 07:42:41,2023-08-10 07:42:42,0.722s,PASSED
,,,,,,,
Test Cases/Mobile/SM-LOG04,,,,2023-08-10 07:42:42,2023-08-10 07:43:02,20.336s,PASSED
"startApplication(""C:\Users\rizky\Downloads\DemoAppV2.apk"", true)",,,,2023-08-10 07:42:42,2023-08-10 07:42:52,10.149s,PASSED
"tap(findTestObject(""Object Repository/Mobile - Login/android.widget.TextView - Login Here""), 3)",,,,2023-08-10 07:42:52,2023-08-10 07:42:55,3.013s,PASSED
"setText(findTestObject(""Object Repository/Mobile - Login/android.widget.EditText""), ""isya.katalon"", 3)",,,,2023-08-10 07:42:55,2023-08-10 07:42:57,1.741s,PASSED
"setText(findTestObject(""Object Repository/Mobile - Login/android.widget.EditText (1)""), ""password"", 3)",,,,2023-08-10 07:42:57,2023-08-10 07:42:58,1.595s,PASSED
"tap(findTestObject(""Object Repository/Mobile - Login/android.widget.TextView - Login""), 3)",,,,2023-08-10 07:42:58,2023-08-10 07:43:00,1.222s,PASSED
"getText(findTestObject(""Mobile - Login/android.widget.TextView - Invalid Credential""), 3)",,,,2023-08-10 07:43:00,2023-08-10 07:43:01,1.150s,PASSED
takeScreenshot(),,,,2023-08-10 07:43:01,2023-08-10 07:43:01,0.457s,PASSED
closeApplication(),,,,2023-08-10 07:43:01,2023-08-10 07:43:02,0.800s,PASSED
,,,,,,,
