Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SW-Register,Chrome 115.0.0.0,,,2023-08-13 17:52:14,2023-08-13 17:56:43,"4m - 28,180s",PASSED
,,,,,,,
Test Cases/Website/SW-Register/SW-REG01,Chrome 115.0.0.0,,,2023-08-13 17:52:15,2023-08-13 17:52:34,"19,350s",PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-13 17:52:15,2023-08-13 17:52:17,"2,300s",PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-13 17:52:17,2023-08-13 17:52:18,"0,170s",PASSED
"navigateToUrl(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-13 17:52:18,2023-08-13 17:52:20,"2,226s",PASSED
"click(findTestObject(""Web - Register/Page_Buat akun dan dapatkan akses di Coding.ID/button_Buat Akun""))",Chrome 115.0.0.0,,,2023-08-13 17:52:20,2023-08-13 17:52:21,"1,106s",PASSED
"setText(findTestObject(""Web - Register/Page_Buat akun dan dapatkan akses di Coding.ID/input_Nama_name""), nama_iqbal)",Chrome 115.0.0.0,,,2023-08-13 17:52:21,2023-08-13 17:52:22,"1,098s",PASSED
"setText(findTestObject(""Web - Register/Page_Buat akun dan dapatkan akses di Coding.ID/input_Tanggal lahir_birth_date""), tgl_lhir)",Chrome 115.0.0.0,,,2023-08-13 17:52:22,2023-08-13 17:52:23,"0,941s",PASSED
"setText(findTestObject(""Web - Register/Page_Buat akun dan dapatkan akses di Coding.ID/input_E-Mail_email""), ""ga2k22t@ezztt.com"")",Chrome 115.0.0.0,,,2023-08-13 17:52:23,2023-08-13 17:52:24,"0,807s",PASSED
"setText(findTestObject(""Web - Register/Page_Buat akun dan dapatkan akses di Coding.ID/input_Whatsapp_whatsapp""), wa_number)",Chrome 115.0.0.0,,,2023-08-13 17:52:24,2023-08-13 17:52:24,"0,682s",PASSED
"setText(findTestObject(""Web - Register/Page_Buat akun dan dapatkan akses di Coding.ID/input_Kata Sandi_password""), iqbal_pass)",Chrome 115.0.0.0,,,2023-08-13 17:52:24,2023-08-13 17:52:25,"0,682s",PASSED
"setText(findTestObject(""Web - Register/Page_Buat akun dan dapatkan akses di Coding.ID/input_Konfirmasi kata sandi_password_confirmation""), iqbal_pass)",Chrome 115.0.0.0,,,2023-08-13 17:52:25,2023-08-13 17:52:26,"0,699s",PASSED
"click(findTestObject(""Web - Register/Page_Buat akun dan dapatkan akses di Coding.ID/input_Konfirmasi checkbox terms_and_condition""))",Chrome 115.0.0.0,,,2023-08-13 17:52:26,2023-08-13 17:52:26,"0,510s",PASSED
"click(findTestObject(""Web - Register/Page_Buat akun dan dapatkan akses di Coding.ID/button_Daftar""))",Chrome 115.0.0.0,,,2023-08-13 17:52:26,2023-08-13 17:52:28,"1,949s",PASSED
delay(5),Chrome 115.0.0.0,,,2023-08-13 17:52:28,2023-08-13 17:52:33,"5,042s",PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 17:52:33,2023-08-13 17:52:34,"0,689s",PASSED
,,,,,,,
Test Cases/Website/SW-Register/SW-REG02,Chrome 115.0.0.0,,,2023-08-13 17:52:34,2023-08-13 17:52:51,"17,250s",PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-13 17:52:34,2023-08-13 17:52:35,"1,185s",PASSED
