Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SA-LOGIN,,,,2023-08-13 22:12:16,2023-08-13 22:12:21,5.139s,PASSED
,,,,,,,
Test Cases/API/SA-Login/SA-LOG01,,,,2023-08-13 22:12:16,2023-08-13 22:12:18,1.750s,PASSED
"ResponseLogin = sendRequest(findTestObject(""API - Login/SA-LOG01""))",,,,2023-08-13 22:12:16,2023-08-13 22:12:17,1.513s,PASSED
StatusCode = getResponseStatusCode(ResponseLogin),,,,2023-08-13 22:12:17,2023-08-13 22:12:17,0.006s,PASSED
"verifyEqual(StatusCode, 200)",,,,2023-08-13 22:12:17,2023-08-13 22:12:18,0.025s,PASSED
"ValueToken = getElementPropertyValue(ResponseLogin, ""success.token"")",,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.026s,PASSED
"println(""status:"" + StatusCode)",,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.003s,PASSED
"println(""token: "" + ValueToken)",,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.000s,PASSED
,,,,,,,
Test Cases/API/SA-Login/SA-LOG02,,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.383s,PASSED
"ResponseLogin = sendRequest(findTestObject(""API - Login/SA-LOG02""))",,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.230s,PASSED
StatusCode = getResponseStatusCode(ResponseLogin),,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.007s,PASSED
"verifyEqual(StatusCode, 200)",,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.006s,PASSED
"ValueToken = getElementPropertyValue(ResponseLogin, ""success.token"")",,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.012s,PASSED
"println(""status:"" + StatusCode)",,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.001s,PASSED
"println(""token: "" + ValueToken)",,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.000s,PASSED
,,,,,,,
Test Cases/API/SA-Login/SA-LOG03,,,,2023-08-13 22:12:18,2023-08-13 22:12:18,0.330s,PASSED
