Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SA-CHANGE PROFILE,,,,2023-08-13 22:27:49,2023-08-13 22:28:36,46.848s,FAILED
,,,,,,,
Test Cases/API/SA-Change Profile/SA-CP01,,,,2023-08-13 22:27:49,2023-08-13 22:27:50,1.405s,PASSED
"Response = sendRequest(findTestObject(""API - Change Profile/SA-CP01""))",,,,2023-08-13 22:27:49,2023-08-13 22:27:50,1.137s,PASSED
"ValueStatus = getElementPropertyValue(Response, ""status"")",,,,2023-08-13 22:27:50,2023-08-13 22:27:50,0.037s,PASSED
"verifyEqual(ValueStatus, 200)",,,,2023-08-13 22:27:50,2023-08-13 22:27:50,0.028s,PASSED
"ValueData = getElementPropertyValue(Response, ""data"")",,,,2023-08-13 22:27:50,2023-08-13 22:27:50,0.012s,PASSED
"println(""status: "" + ValueStatus)",,,,2023-08-13 22:27:50,2023-08-13 22:27:50,0.002s,PASSED
"println(""data: "" + ValueData)",,,,2023-08-13 22:27:50,2023-08-13 22:27:50,0.000s,PASSED
,,,,,,,
Test Cases/API/SA-Change Profile/SA-CP02,,,,2023-08-13 22:27:50,2023-08-13 22:27:52,1.947s,PASSED
"Response = sendRequest(findTestObject(""API - Change Profile/SA-CP03""))",,,,2023-08-13 22:27:50,2023-08-13 22:27:52,1.748s,PASSED
"ValueStatus = getElementPropertyValue(Response, ""status"")",,,,2023-08-13 22:27:52,2023-08-13 22:27:52,0.037s,PASSED
"verifyEqual(ValueStatus, 200)",,,,2023-08-13 22:27:52,2023-08-13 22:27:52,0.003s,PASSED
"ValueMessage = getElementPropertyValue(Response, ""message"")",,,,2023-08-13 22:27:52,2023-08-13 22:27:52,0.014s,PASSED
"println(""status: "" + ValueStatus)",,,,2023-08-13 22:27:52,2023-08-13 22:27:52,0.001s,PASSED
"println(""message: "" + ValueMessage)",,,,2023-08-13 22:27:52,2023-08-13 22:27:52,0.001s,PASSED
,,,,,,,
Test Cases/API/SA-Change Profile/SA-CP03,,,,2023-08-13 22:27:52,2023-08-13 22:27:54,1.965s,PASSED
"Response = sendRequest(findTestObject(""API - Change Profile/SA-CP03""))",,,,2023-08-13 22:27:52,2023-08-13 22:27:54,1.764s,PASSED
"ValueStatus = getElementPropertyValue(Response, ""status"")",,,,2023-08-13 22:27:54,2023-08-13 22:27:54,0.030s,PASSED
"verifyEqual(ValueStatus, 200)",,,,2023-08-13 22:27:54,2023-08-13 22:27:54,0.005s,PASSED
"ValueMessage = getElementPropertyValue(Response, ""message"")",,,,2023-08-13 22:27:54,2023-08-13 22:27:54,0.012s,PASSED
"println(""status: "" + ValueStatus)",,,,2023-08-13 22:27:54,2023-08-13 22:27:54,0.001s,PASSED
"println(""message "" + ValueMessage)",,,,2023-08-13 22:27:54,2023-08-13 22:27:54,0.000s,PASSED
,,,,,,,
Test Cases/API/SA-Change Profile/SA-CP04,,,,2023-08-13 22:27:54,2023-08-13 22:27:58,3.310s,PASSED
"Response = sendRequest(findTestObject(""API - Change Profile/SA-CP04""))",,,,2023-08-13 22:27:54,2023-08-13 22:27:57,3.045s,PASSED
"ValueStatus = getElementPropertyValue(Response, ""status"")",,,,2023-08-13 22:27:57,2023-08-13 22:27:58,0.086s,PASSED
"verifyEqual(ValueStatus, 200)",,,,2023-08-13 22:27:58,2023-08-13 22:27:58,0.005s,PASSED
"ValueMessage = getElementPropertyValue(Response, ""message"")",,,,2023-08-13 22:27:58,2023-08-13 22:27:58,0.024s,PASSED
"println(""status: "" + ValueStatus)",,,,2023-08-13 22:27:58,2023-08-13 22:27:58,0.002s,PASSED
"println(""message "" + ValueMessage)",,,,2023-08-13 22:27:58,2023-08-13 22:27:58,0.001s,PASSED
,,,,,,,
Test Cases/API/SA-Change Profile/SA-CP05,,,,2023-08-13 22:28:08,2023-08-13 22:28:11,3.288s,FAILED
"Response = sendRequest(findTestObject(""API - Change Profile/SA-CP05""))",,,,2023-08-13 22:28:08,2023-08-13 22:28:11,3.218s,PASSED
